iter	Logloss
0	0.6300280865
1	0.5897370754
2	0.5557203599
3	0.5249092785
4	0.4956602406
5	0.4781194692
6	0.4598308369
7	0.4448088966
8	0.4334901826
9	0.4248652797
10	0.4162099303
11	0.4059968435
12	0.3991934914
13	0.39362686
14	0.3886075842
15	0.383993105
16	0.3772898997
17	0.3720943904
18	0.3691868026
19	0.3672485415
20	0.3628857636
21	0.3602725975
22	0.3558298649
23	0.352198976
24	0.3507761394
25	0.347561043
26	0.3455242439
27	0.34367364
28	0.3406303338
29	0.3381210608
30	0.3351200376
31	0.3330344056
32	0.3304942775
33	0.3271288951
34	0.3240981944
35	0.3228670457
36	0.3201242079
37	0.3187718463
38	0.3177569061
39	0.3167984196
40	0.3155712738
41	0.3139173562
42	0.313043719
43	0.3111009877
44	0.3083226198
45	0.3069283155
46	0.3068802105
47	0.306806596
48	0.3068065578
49	0.3041186442
50	0.3034841981
51	0.3027780197
52	0.3027554509
53	0.3011978055
54	0.2998030045
55	0.2975016306
56	0.2960577404
57	0.2944120129
58	0.293217849
59	0.2922143993
60	0.2903618448
61	0.2896804638
62	0.2878137409
63	0.2846561703
64	0.284567474
65	0.2840403432
66	0.2833376437
67	0.2820320341
68	0.2816715099
69	0.2814414606
70	0.2813089617
71	0.2789453687
72	0.2769776893
73	0.2761868573
74	0.2755072924
75	0.2745731352
76	0.2735495581
77	0.2720826298
78	0.2710759301
79	0.2704365361
80	0.2691310631
81	0.2663059655
82	0.2641115882
83	0.2632807909
84	0.2597917562
85	0.2587333501
86	0.2581859633
87	0.2561057126
88	0.2560419288
89	0.2547862253
90	0.2546588337
91	0.2531876171
92	0.2514580979
93	0.2513985602
94	0.2513076377
95	0.2510622653
96	0.2505774994
97	0.2484027319
98	0.2476952513
99	0.2473160145
100	0.2472073049
101	0.2470424469
102	0.2452794822
103	0.2430726062
104	0.2417394964
105	0.2400857613
106	0.2394171308
107	0.2389463606
108	0.2381359318
109	0.2362959151
110	0.234508798
111	0.2338892669
112	0.233687649
113	0.2327024093
114	0.2323225776
115	0.2320417023
116	0.2320324247
117	0.2314335832
118	0.230376937
119	0.2297342511
120	0.2295305819
121	0.2285395361
122	0.2279844477
123	0.2254794503
124	0.2231798254
125	0.2217168166
126	0.2210945925
127	0.2176194625
128	0.2165861973
129	0.2133228204
130	0.2120441811
131	0.2103445263
132	0.2099492224
133	0.2095759717
134	0.2081331737
135	0.2073717683
136	0.2051053104
137	0.2050035962
138	0.2030490774
139	0.2013954938
140	0.2007268704
141	0.2006290249
142	0.1991330669
143	0.1986540174
144	0.1981474446
145	0.1979557767
146	0.1976059645
147	0.1974116668
148	0.195555463
149	0.195391753
150	0.1948328315
151	0.1942512247
152	0.1941684742
153	0.1937328164
154	0.1922188806
155	0.1899495243
156	0.1895077137
157	0.1883196855
158	0.1864997217
159	0.1857062162
160	0.1853263903
161	0.1849960003
162	0.184134898
163	0.1839587687
164	0.1835606131
165	0.1830360962
166	0.1825355082
167	0.1814863629
168	0.17924157
169	0.1790838362
170	0.1779559681
171	0.1772422728
172	0.1768738579
173	0.1765030449
174	0.1760600051
175	0.175203354
176	0.1749845674
177	0.1736635028
178	0.1735909303
179	0.1729514235
180	0.1718070295
181	0.1711817623
182	0.1711545356
183	0.1702682069
184	0.1698792755
185	0.169533901
186	0.1681955938
187	0.1679802748
188	0.167355755
189	0.1668443269
190	0.1666574446
191	0.1659608193
192	0.1651588083
193	0.1650474705
194	0.1649715432
195	0.1640664849
196	0.1628955225
197	0.1622502779
198	0.1615297429
199	0.1606192839
200	0.1602839608
201	0.1600488182
202	0.1589636013
203	0.1588695059
204	0.1583837943
205	0.1583234605
206	0.1582496519
207	0.1580868451
208	0.1579896618
209	0.1565691567
210	0.1563523593
211	0.1557024931
212	0.1544379611
213	0.1534545285
214	0.1531356811
215	0.1526378172
216	0.1523671659
217	0.1519183225
218	0.1512773939
219	0.1509267047
220	0.1505287239
221	0.1504465822
222	0.1489902728
223	0.1486081746
224	0.1473669498
225	0.1469936347
